branch_id,day,metric,p10,p50,p90,mean,standard_deviation
integrated_response,3,government_trust,0.5997136949155042,0.5998299055346246,0.5999461161537449,0.5998299055346246,0.00014526327390051996
integrated_response,3,economic_confidence,0.5237798293369822,0.5240225548109247,0.5242652802848674,0.5240225548109247,0.00030340684242818883
integrated_response,3,consumption_index,0.48187554607592104,0.48201159160126655,0.48214763712661207,0.48201159160126655,0.00017005690668187023
integrated_response,3,employment_rate,0.9319612089419044,0.9319731194705345,0.9319850299991648,0.9319731194705345,1.4888160787707161e-05
integrated_response,3,congestion_index,0.7583248942495261,0.759251098768151,0.7601773032867759,0.759251098768151,0.0011577556482811335
integrated_response,3,health_system_load,0.6816147359559355,0.6822785326173533,0.6829423292787711,0.6822785326173533,0.0008297458267722546
integrated_response,3,rumor_belief,0.06859590296913064,0.06942645779763298,0.07025701262613535,0.06942645779763298,0.0010381935356279445
integrated_response,3,stress,0.4325201936534475,0.4325245652497015,0.4325289368459555,0.4325245652497015,5.464495317519802e-06
integrated_response,3,commute_minutes,24.605783144375522,24.6122043592109,24.618625574046273,24.6122043592109,0.00802651854421832
integrated_response,3,organization_vitality,0.8195275403847719,0.8195468450088407,0.8195661496329094,0.8195468450088407,2.4130780085895864e-05
integrated_response,3,public_service_reliability,0.8380101753468201,0.838042787583903,0.838075399820986,0.838042787583903,4.0765296353661995e-05
integrated_response,3,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
integrated_response,4,life_satisfaction,0.39100342023657925,0.3910157931151899,0.3910281659938006,0.3910157931151899,1.5466098263305916e-05
integrated_response,4,government_trust,0.5801408160258227,0.5802720763392999,0.580403336652777,0.5802720763392999,0.00016407539184642994
integrated_response,4,economic_confidence,0.5076532361777781,0.5081111521309154,0.5085690680840528,0.5081111521309154,0.0005723949414216389
integrated_response,4,consumption_index,0.433998616604217,0.4341619671008525,0.43432531759748794,0.4341619671008525,0.00020418812079431303
integrated_response,4,employment_rate,0.9323775135788183,0.9324820459085346,0.9325865782382508,0.9324820459085346,0.00013066541214529215
integrated_response,4,congestion_index,0.7594189739790203,0.7602864301401404,0.7611538863012607,0.7602864301401404,0.0010843202014003128
integrated_response,4,health_system_load,0.6821783546353257,0.6827813024359313,0.6833842502365368,0.6827813024359313,0.0007536847507569333
integrated_response,4,rumor_belief,0.056639697947450184,0.057129590408736275,0.05761948287002236,0.057129590408736275,0.000612365576607609
integrated_response,4,stress,0.4436449679852029,0.4436666096435346,0.4436882513018663,0.4436666096435346,2.7052072914590664e-05
integrated_response,4,commute_minutes,24.552645449072884,24.552928343129867,24.55321123718685,24.552928343129867,0.0003536175712284262
integrated_response,4,organization_vitality,0.8254061531293018,0.8257547067828812,0.8261032604364607,0.8257547067828812,0.0004356920669743025
integrated_response,4,public_service_reliability,0.837322736501427,0.8373579043125519,0.8373930721236769,0.8373579043125519,4.395976390619838e-05
integrated_response,4,policy_cost_100m_cny,1.1851851851851851,1.1851851851851851,1.1851851851851851,1.1851851851851851,0.0
integrated_response,5,life_satisfaction,0.3625922505012836,0.3626018162132339,0.3626113819251842,0.3626018162132339,1.1957139937901484e-05
integrated_response,5,government_trust,0.5618125891365462,0.5619610376774988,0.5621094862184514,0.5619610376774988,0.00018556067619074357
integrated_response,5,economic_confidence,0.4927331986618186,0.4929603619719538,0.493187525282089,0.4929603619719538,0.00028395413766899025
integrated_response,5,consumption_index,0.39206699909988263,0.3922271773067987,0.3923873555137148,0.3922271773067987,0.0002002227586450911
integrated_response,5,employment_rate,0.9329412101471417,0.9329563883512256,0.9329715665553096,0.9329563883512256,1.8972755104873507e-05
integrated_response,5,congestion_index,0.7502941297488527,0.7512730173689471,0.7522519049890416,0.7512730173689471,0.00122360952511813
integrated_response,5,health_system_load,0.682713352488995,0.6832603327008206,0.6838073129126463,0.6832603327008206,0.0006837252647820535
integrated_response,5,rumor_belief,0.046918894725563494,0.047474256247903905,0.048029617770244316,0.047474256247903905,0.0006942019029255175
integrated_response,5,stress,0.44487484500766145,0.4449085812472046,0.4449423174867478,0.4449085812472046,4.217029942893413e-05
integrated_response,5,commute_minutes,24.474497976101237,24.486389314400043,24.498280652698845,24.486389314400043,0.014864172873506831
integrated_response,5,organization_vitality,0.831390423229825,0.8314205546857408,0.8314506861416566,0.8314205546857408,3.766431989471464e-05
integrated_response,5,public_service_reliability,0.8366709536862323,0.8367082529984607,0.8367455523106891,0.8367082529984607,4.662414028544504e-05
integrated_response,5,policy_cost_100m_cny,2.581908831908832,2.581908831908832,2.581908831908832,2.581908831908832,0.0
integrated_response,6,life_satisfaction,0.33614305498490404,0.33615425707639046,0.3361654591678768,0.33615425707639046,1.4002614357994103e-05
integrated_response,6,government_trust,0.5446309987201086,0.5447879753724376,0.5449449520247666,0.5447879753724376,0.00019622081541120773
integrated_response,6,economic_confidence,0.4785175551226801,0.47885225787987595,0.4791869606370717,0.47885225787987595,0.00041837844649475486
integrated_response,6,consumption_index,0.3671687708384865,0.36733784884264914,0.3675069268468118,0.36733784884264914,0.00021134750520329648
integrated_response,6,employment_rate,0.9334765913768153,0.9335367827851662,0.9335969741935172,0.9335367827851662,7.523926043867535e-05
integrated_response,6,congestion_index,0.7513324973409342,0.7522716167189739,0.7532107360970136,0.7522716167189739,0.0011738992225496236
integrated_response,6,health_system_load,0.6832210998668454,0.6837166293752235,0.6842121588836014,0.6837166293752235,0.0006194118854724873
integrated_response,6,rumor_belief,0.03930805003945446,0.03966015048160254,0.04001225092375062,0.03966015048160254,0.0004401255526851021
integrated_response,6,stress,0.43866398397658035,0.43870213385888673,0.4387402837411931,0.43870213385888673,4.768735288296355e-05
integrated_response,6,commute_minutes,24.494884762515365,24.49834802283234,24.50181128314931,24.49834802283234,0.0043290753962157424
integrated_response,6,organization_vitality,0.8368430736400075,0.8370441947549871,0.8372453158699668,0.8370441947549871,0.0002514013937244819
integrated_response,6,public_service_reliability,0.8360530229574561,0.8360920713865354,0.8361311198156147,0.8360920713865354,4.881053634919752e-05
