branch,day,awareness,purchase_probability,brand_trust_probability,complaint_probability,churn_probability,recommend_probability,snapshot_hash
control,11,0.2758354639988191,0.7921038190372577,0.772056110040824,0.03063476024644271,0.023762948370020413,0.6624489201794979,bb1597679d6a19f37848114b86a923034f9fbc0bbcdf6c7ef8c9548fe51d5c5e
control,12,0.2944563983946882,0.7920546821613901,0.772023352123579,0.03266758415427459,0.02536762401961169,0.6624489201794979,add8a7ca4a3ec274f455314f3aafcdcf89bdffb62038df138d9070c9897f8160
control,13,0.3130988723326708,0.7920039470203158,0.771989528696196,0.03469655824811074,0.026974172863138083,0.6624489201794979,c8e5f105aae390f4fc514aafcee5713ef1542459718ac2e18a1f1e3f3eb80166
control,14,0.3317348085789626,0.7919518587615796,0.7719548031903719,0.03671839557382341,0.028580168932579364,0.6624489201794979,0d51c7de497a5eb97ab85b79db5ffe43d3f85aef492c2f619861d5f6021de48e
price_up_30,0,0.28,0.49900923634315797,0.5465293501366087,0.07695159166842366,0.08382737100895964,0.4104614782176233,21ed2ab4ca490c99065e5d693a9ab9d8f8f767e5808f7a9fafcce12f59ad8b52
price_up_30,1,0.36059984065832473,0.49888147749084627,0.5464441775684008,0.09900348245884097,0.10796445123382031,0.4104614782176233,81c3fcf8ef84d01922273005357c2c3ccec52ac434f421b897667d811610a581
price_up_30,2,0.43710596595471585,0.49872453153101204,0.5463395469285114,0.11985364864138025,0.13087637946233852,0.4104614782176233,df39b14fc902903b16ca55f5af5913faf3e9665c7938933aaf0ae37c1594b5c1
price_up_30,3,0.5085554644556027,0.49854395061762835,0.5462191596529222,0.13923036023248767,0.15227418770506546,0.4104614782176233,7afdfa696b56645a14f82b49270fb11b1239570c7567c6a91fb8c504ae256295
price_up_30,4,0.5742554709714801,0.4983456751481851,0.5460869760066267,0.15694297440977786,0.17194989638161237,0.4104614782176233,3e41f80ce29163afe9126cd08ef69ee3996a6871d46471cdb3305cc742a1cc60
price_up_30,5,0.6337969929630654,0.49813558318398526,0.5459469146971602,0.17288506812849022,0.18978068827259734,0.4104614782176233,47b884194a1e5cfbf7810cea8f595bdc703a0f23af42eb520278d575e6d0e2ce
