branch_id,candidate_id,day,first_occurrence_probability,cumulative_probability
early_response,production_adjustment,31,0.0048828125,0.1796875
early_response,production_adjustment,32,0.00634765625,0.18603515625
early_response,production_adjustment,33,0.0048828125,0.19091796875
early_response,production_adjustment,34,0.00732421875,0.1982421875
early_response,production_adjustment,35,0.0029296875,0.201171875
early_response,production_adjustment,36,0.00439453125,0.20556640625
early_response,production_adjustment,37,0.00634765625,0.2119140625
early_response,production_adjustment,38,0.00439453125,0.21630859375
early_response,production_adjustment,39,0.00634765625,0.22265625
early_response,production_adjustment,40,0.00390625,0.2265625
early_response,production_adjustment,41,0.00439453125,0.23095703125
early_response,production_adjustment,42,0.0029296875,0.23388671875
early_response,production_adjustment,43,0.0048828125,0.23876953125
early_response,production_adjustment,44,0.0048828125,0.24365234375
early_response,production_adjustment,45,0.00341796875,0.2470703125
early_response,reputation_escalation,1,0.0224609375,0.0224609375
early_response,reputation_escalation,2,0.0244140625,0.046875
early_response,reputation_escalation,3,0.0234375,0.0703125
early_response,reputation_escalation,4,0.02001953125,0.09033203125
early_response,reputation_escalation,5,0.015625,0.10595703125
early_response,reputation_escalation,6,0.01708984375,0.123046875
early_response,reputation_escalation,7,0.01416015625,0.13720703125
early_response,reputation_escalation,8,0.013671875,0.15087890625
early_response,reputation_escalation,9,0.00830078125,0.1591796875
early_response,reputation_escalation,10,0.01123046875,0.17041015625
early_response,reputation_escalation,11,0.0087890625,0.17919921875
early_response,reputation_escalation,12,0.01416015625,0.193359375
early_response,reputation_escalation,13,0.0107421875,0.2041015625
early_response,reputation_escalation,14,0.015625,0.2197265625
early_response,reputation_escalation,15,0.0087890625,0.228515625
early_response,reputation_escalation,16,0.00830078125,0.23681640625
early_response,reputation_escalation,17,0.00830078125,0.2451171875
early_response,reputation_escalation,18,0.00732421875,0.25244140625
early_response,reputation_escalation,19,0.0068359375,0.25927734375
early_response,reputation_escalation,20,0.01025390625,0.26953125
early_response,reputation_escalation,21,0.00537109375,0.27490234375
early_response,reputation_escalation,22,0.00732421875,0.2822265625
early_response,reputation_escalation,23,0.00830078125,0.29052734375
